fiesta,fiestaLabel,locationLabel
http://www.wikidata.org/entity/Q11921918,Fiesta del Renacimiento,Tortosa
http://www.wikidata.org/entity/Q11922101,Feria de Agosto de Játiva,Xátiva
http://www.wikidata.org/entity/Q11947723,Santíssim Misteri de Cervera,Cervera
http://www.wikidata.org/entity/Q11949578,Semana Medieval de San Jorge,Montblanc
http://www.wikidata.org/entity/Q12388467,Fiesta de la Historia,Ribadavia
http://www.wikidata.org/entity/Q12388482,Fiesta del Pulpo de O Carballiño,Carballino
http://www.wikidata.org/entity/Q12388485,Fiestas de San Froilán de Lugo,Lugo
http://www.wikidata.org/entity/Q16303295,"Fiestas de la Virgen, Yecla",Yecla
http://www.wikidata.org/entity/Q17632257,Festival de Exaltación del Botillo,Bembibre
http://www.wikidata.org/entity/Q17632299,Fiestas de Santa Ana,Tudela
http://www.wikidata.org/entity/Q17993325,Alfombras de Serrín de Elche de la Sierra,Elche de la Sierra
http://www.wikidata.org/entity/Q20001242,La Pasión de Esparraguera,Esparraguera
http://www.wikidata.org/entity/Q20014639,Día de la Faldeta,Fraga
http://www.wikidata.org/entity/Q20017036,La Bajada del Ángel,Tudela
http://www.wikidata.org/entity/Q20541714,Entroido de Ginzo de Limia,Ginzo de Limia
http://www.wikidata.org/entity/Q20544324,Fiesta del Cocido,Lalín
http://www.wikidata.org/entity/Q3392407,Arde Lucus,Lugo
http://www.wikidata.org/entity/Q5752861,Carnaval de Laza,Laza
http://www.wikidata.org/entity/Q5799146,Danza de San Sebastián de Aldán,Aldán
http://www.wikidata.org/entity/Q5858753,Feria Franca Medieval,Betanzos
http://www.wikidata.org/entity/Q5861700,Fiesta de la Almeja,Villagarcía de Arosa
http://www.wikidata.org/entity/Q6003103,Maruxaina,San Ciprián
http://www.wikidata.org/entity/Q6038341,Naseiro,Vivero
http://www.wikidata.org/entity/Q8961500,Festa da Dorna,Riveira
http://www.wikidata.org/entity/Q9066621,Rapa das Bestas de Sabucedo,Sabucedo
http://www.wikidata.org/entity/Q12388339,Feria del Bonito,Burela
http://www.wikidata.org/entity/Q12388466,Fiesta de la Virgen de Guadalupe,Rianjo
http://www.wikidata.org/entity/Q12388467,Fiesta de la Historia,Ribadavia
http://www.wikidata.org/entity/Q12388474,Festa do Boi de Allariz,Allariz
http://www.wikidata.org/entity/Q12388477,Fiesta del Carnero al Espeto,Moraña
http://www.wikidata.org/entity/Q12388480,Fiesta de Exaltación del Pan de Cea,San Cristóbal de Cea
http://www.wikidata.org/entity/Q12388481,Fiesta del Pulpo,Mugardos
http://www.wikidata.org/entity/Q12388642,Folión de Carros,Chantada
http://www.wikidata.org/entity/Q12399211,Romería de la tortilla de laro,Silleda
http://www.wikidata.org/entity/Q12399215,Fiestas de San Benitiño de Lérez,Pontevedra
http://www.wikidata.org/entity/Q12400240,Semana Santa de Cangas,Cangas de Morrazo
http://www.wikidata.org/entity/Q12400241,Semana Santa de Paradela,Meis
http://www.wikidata.org/entity/Q19009993,Feira Franca,Pontevedra
http://www.wikidata.org/entity/Q20020062,Fiesta del Choco,Redondela
http://www.wikidata.org/entity/Q20544790,As Fachas de Castelo,Taboada
http://www.wikidata.org/entity/Q20545088,Fiesta de la Coca de Redondela,Redondela
http://www.wikidata.org/entity/Q20545101,Fiesta de la Empanada de Bandeira,Silleda
http://www.wikidata.org/entity/Q20545124,Fiesta de la Filloa de Lestedo,Boqueijón
http://www.wikidata.org/entity/Q20545134,Fiesta de la Filloa de Muimenta,Cospeito
http://www.wikidata.org/entity/Q20545224,Fiesta del Queso de Arzúa,Arzúa
http://www.wikidata.org/entity/Q20545259,Fiesta de San Roque (Betanzos),Betanzos
